2025-05-10 15:07:55,192 INFO    Thread-26 :91912 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_setup.py:_flush():70] Configure stats pid to 91912
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_setup.py:_flush():70] Loading settings from /Users/wpw555/.config/wandb/settings
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_setup.py:_flush():70] Loading settings from /Users/wpw555/Documents/Kaggle/playground_s5e5/notebooks/wandb/settings
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/wpw555/Documents/Kaggle/playground_s5e5/notebooks/wandb/run-20250510_150755-ddydmswo/logs/debug.log
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/wpw555/Documents/Kaggle/playground_s5e5/notebooks/wandb/run-20250510_150755-ddydmswo/logs/debug-internal.log
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x16c6d22e0>
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_init.py:init():852] calling init triggers
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_init.py:init():857] wandb.init called with sweep_config: {'learning_rate': 0.28917182083101506, 'max_depth': 5, 'n_estimators': 681}
config: {'_wandb': {}}
2025-05-10 15:07:55,193 INFO    Thread-26 :91912 [wandb_init.py:init():893] starting backend
2025-05-10 15:07:55,194 INFO    Thread-26 :91912 [wandb_init.py:init():897] sending inform_init request
2025-05-10 15:07:55,195 INFO    Thread-26 :91912 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-05-10 15:07:55,195 INFO    Thread-26 :91912 [wandb_init.py:init():907] backend started and connected
2025-05-10 15:07:55,199 INFO    Thread-26 :91912 [wandb_run.py:_config_callback():1436] config_cb None None {'learning_rate': 0.28917182083101506, 'max_depth': 5, 'n_estimators': 681}
2025-05-10 15:07:55,205 INFO    Thread-26 :91912 [wandb_run.py:_label_probe_notebook():1376] probe notebook
2025-05-10 15:07:55,207 INFO    Thread-26 :91912 [wandb_init.py:init():1005] updated telemetry
2025-05-10 15:07:55,232 INFO    Thread-26 :91912 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-10 15:07:55,704 INFO    Thread-26 :91912 [wandb_init.py:init():1104] starting run threads in backend
2025-05-10 15:07:55,850 INFO    Thread-26 :91912 [wandb_run.py:_console_start():2573] atexit reg
2025-05-10 15:07:55,850 INFO    Thread-26 :91912 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-10 15:07:55,850 INFO    Thread-26 :91912 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-10 15:07:55,850 INFO    Thread-26 :91912 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-10 15:07:55,850 INFO    Thread-26 :91912 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-10 15:07:55,851 INFO    Thread-26 :91912 [wandb_run.py:_finish():2321] finishing run benmcguirk-queen-mary-university-of-london/xgboost-optimization/ddydmswo
2025-05-10 15:07:55,851 INFO    Thread-26 :91912 [jupyter.py:save_history():477] not saving jupyter history
2025-05-10 15:07:55,852 INFO    Thread-26 :91912 [jupyter.py:save_ipynb():401] not saving jupyter notebook
2025-05-10 15:07:55,852 INFO    Thread-26 :91912 [wandb_init.py:_jupyter_teardown():628] cleaning up jupyter logic
2025-05-10 15:07:55,852 INFO    Thread-26 :91912 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 1
2025-05-10 15:07:55,852 INFO    Thread-26 :91912 [wandb_run.py:_restore():2520] restore
2025-05-10 15:07:55,852 INFO    Thread-26 :91912 [wandb_run.py:_restore():2526] restore done
2025-05-10 15:07:56,988 INFO    Thread-26 :91912 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-05-10 15:07:56,988 INFO    Thread-26 :91912 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-05-10 15:07:56,989 INFO    Thread-26 :91912 [wandb_run.py:_footer_sync_info():4149] logging synced files
